word,sentiment,n
thing,negative,5755
end,negative,5746
does,negative,5652
i'm,negative,5609
should,negative,5604
did,positive,5588
scenes,negative,5588
while,positive,5553
here,negative,5530
these,negative,5526
ever,positive,5446
didn't,negative,5399
years,positive,5369
end,positive,5355
watching,negative,5347
go,negative,5236
these,positive,5188
great,negative,5174
scene,positive,5145
doesn't,negative,5130
real,positive,5111
actually,negative,5083
here,positive,5038
those,positive,5037
such,positive,5018
through,negative,5007
such,negative,4984
your,positive,4982
back,positive,4975
actors,negative,4961
worst,negative,4884
scenes,positive,4873
say,positive,4853
off,positive,4832
while,negative,4797
acting,positive,4772
man,negative,4769
plot,positive,4756
life,negative,4735
now,positive,4727
go,positive,4706
makes,positive,4700
better,positive,4689
back,negative,4687
through,positive,4679
new,positive,4639
funny,negative,4636
going,negative,4631
though,positive,4617
world,positive,4611
10,positive,4550
look,negative,4521
now,negative,4494
director,negative,4489
work,positive,4468
find,positive,4464
another,negative,4451
young,positive,4451
still,negative,4429
both,positive,4371
old,positive,4360
those,negative,4349
us,positive,4328
real,negative,4314
love,negative,4293
minutes,negative,4284
something,positive,4279
before,positive,4270
pretty,negative,4260
old,negative,4256
few,negative,4246
lot,positive,4240
before,negative,4238
again,positive,4232
horror,negative,4190
can't,negative,4176
quite,positive,4142
want,negative,4142
another,positive,4117
cast,positive,4117
same,negative,4112
though,negative,4111
funny,positive,4101
best,negative,4099
work,negative,4068
script,negative,4064
always,positive,4059
series,positive,4050
own,positive,4047
part,positive,4040
that's,negative,4031
every,negative,4027
should,positive,4022
10,negative,3981
same,positive,3979
enough,negative,3973
actors,positive,3971
least,negative,3969
seems,negative,3968
guy,negative,3953
down,negative,3949
every,positive,3936
music,positive,3894
around,negative,3860
between,positive,3838
got,negative,3833
part,negative,3819
lot,negative,3815
role,positive,3815
may,positive,3809
watching,positive,3806
look,positive,3758
find,negative,3751
i'm,positive,3747
2,negative,3746
director,positive,3746
bad,positive,3742
there's,negative,3738
isn't,negative,3718
few,positive,3710
doesn't,positive,3709
things,negative,3691
fact,negative,3685
anything,negative,3671
give,negative,3668
original,negative,3668
thought,negative,3664
performance,positive,3657
things,positive,3640
again,negative,3625
makes,negative,3612
family,positive,3594
whole,negative,3577
point,negative,3575
take,negative,3561
going,positive,3553
why,positive,3551
comedy,positive,3550
times,positive,3547
i've,negative,3507
big,positive,3501
must,positive,3473
however,positive,3469
saw,positive,3464
down,positive,3460
new,negative,3455
big,negative,3453
however,negative,3446
long,positive,3437
long,negative,3429
take,positive,3425
actually,positive,3383
years,negative,3373
thing,positive,3370
excellent,positive,3350
bit,positive,3334
gets,negative,3328
didn't,positive,3327
far,negative,3319
interesting,negative,3314
might,negative,3310
fun,positive,3309
right,positive,3302
around,positive,3289
action,positive,3283
cast,negative,3282
thought,positive,3269
each,positive,3249
without,positive,3242
making,negative,3226
right,negative,3219
fact,positive,3214
action,negative,3211
without,negative,3191
feel,positive,3162
almost,negative,3157
come,negative,3154
want,positive,3144
awful,negative,3133
quite,negative,3132
come,positive,3130
played,positive,3124
i've,positive,3122
money,negative,3120
s,positive,3120
especially,positive,3118
got,positive,3114
done,positive,3113
seems,positive,3106
almost,positive,3100
am,negative,3090
yet,positive,3060
kind,negative,3056
war,positive,3042
beautiful,positive,3040
horror,positive,3038
us,negative,3035
last,positive,3034
done,negative,3029
give,positive,3024
poor,negative,3022
our,positive,3012
since,positive,3012
comedy,negative,2995
pretty,positive,2991
boring,negative,2984
must,negative,2984
trying,negative,2982
he's,negative,2979
reason,negative,2975
day,positive,2970
stupid,negative,2956
different,positive,2944
probably,negative,2942
looking,negative,2940
although,positive,2930
enough,positive,2917
shows,positive,2915
dvd,positive,2914
looks,negative,2910
gets,positive,2905
instead,negative,2898
terrible,negative,2897
away,negative,2884
believe,negative,2883
saw,negative,2874
maybe,negative,2871
can't,positive,2864
interesting,positive,2861
true,positive,2853
tv,positive,2846
effects,negative,2840
wasn't,negative,2840
job,positive,2824
anyone,negative,2801
sure,negative,2796
times,negative,2791
may,negative,2780
half,negative,2769
someone,negative,2768
hard,negative,2764
tv,negative,2764
rather,negative,2759
s,negative,2754
1,negative,2748
girl,negative,2742
between,negative,2739
since,negative,2720
he's,positive,2705
that's,positive,2690
probably,positive,2675
far,positive,2667
feel,negative,2666
last,negative,2663
course,positive,2660
wonderful,positive,2660
found,positive,2654
book,negative,2645
original,positive,2635
bit,negative,2629
world,negative,2627
plays,positive,2626
am,positive,2625
away,positive,2615
idea,negative,2613
waste,negative,2611
point,positive,2589
put,negative,2583
isn't,positive,2572
screen,positive,2563
woman,positive,2561
young,negative,2552
music,negative,2551
making,positive,2546
own,negative,2544
whole,positive,2544
girl,positive,2539
later,positive,2539
sense,negative,2536
play,positive,2531
american,positive,2526
together,positive,2523
rather,positive,2516
once,positive,2511
found,negative,2505
hard,positive,2505
set,positive,2503
woman,negative,2501
having,negative,2497
budget,negative,2493
series,negative,2493
john,positive,2490
worth,positive,2490
goes,negative,2489
sure,positive,2489
kind,positive,2487
worse,negative,2474
main,negative,2473
nothing,positive,2471
three,positive,2466
3,negative,2463
role,negative,2452
screen,negative,2447
might,positive,2440
anyone,positive,2435
both,negative,2429
having,positive,2428
perfect,positive,2424
everything,negative,2422
place,positive,2420
takes,positive,2419
yet,negative,2408
comes,positive,2407
completely,negative,2406
himself,positive,2398
else,negative,2382
ending,positive,2382
everything,positive,2377
said,negative,2369
there's,positive,2366
ending,negative,2362
low,negative,2359
performances,positive,2359
classic,positive,2345
comes,negative,2343
either,negative,2334
year,positive,2332
left,negative,2316
special,negative,2311
everyone,positive,2307
set,negative,2294
place,negative,2287
watched,negative,2286
during,positive,2285
shot,negative,2281
seem,negative,2273
wrong,negative,2271
actor,positive,2270
goes,positive,2268
always,negative,2267
supposed,negative,2248
wife,positive,2248
guy,positive,2244
loved,positive,2239
course,negative,2229
audience,negative,2225
you're,negative,2224
day,negative,2221
father,positive,2221
actor,negative,2217
oh,negative,2215
three,negative,2214
watched,positive,2213
seeing,positive,2209
enjoy,positive,2203
mean,negative,2198
simply,negative,2191
high,negative,2188
worth,negative,2179
horrible,negative,2175
camera,negative,2174
put,positive,2166
death,positive,2156
version,positive,2153
high,positive,2146
nice,positive,2144
night,positive,2144
main,positive,2136
least,positive,2133
family,negative,2126
top,positive,2126
dead,negative,2115
looking,positive,2110
black,positive,2106
believe,positive,2104
star,positive,2102
sex,negative,2092
once,negative,2091
short,positive,2090
along,positive,2086
read,negative,2083
anything,positive,2082
couldn't,negative,2079
home,positive,2079
recommend,positive,2076
fun,negative,2074
men,positive,2074
although,negative,2067
book,positive,2064
played,negative,2063
definitely,positive,2061
rest,negative,2060
house,negative,2058
mind,positive,2057
night,negative,2052
sense,positive,2049
black,negative,2048
human,positive,2044
try,negative,2044
line,negative,2039
american,negative,2037
less,negative,2026
during,negative,2025
truly,positive,2021
video,negative,2021
fan,positive,2017
our,negative,2008
second,positive,2003
amazing,positive,1996
house,positive,1996
audience,positive,1991
gives,positive,1991
used,negative,1989
production,negative,1974
year,negative,1971
everyone,negative,1965
play,negative,1961
seeing,negative,1960
seem,positive,1953
each,negative,1952
dialogue,negative,1945
friends,positive,1944
version,negative,1942
said,positive,1936
start,negative,1935
help,positive,1933
full,positive,1929
trying,positive,1925
episode,positive,1924
special,positive,1922
together,negative,1922
given,negative,1916
tell,negative,1909
dvd,negative,1908
until,positive,1908
performance,negative,1901
mind,negative,1895
let,negative,1892
star,negative,1887
fan,negative,1885
hollywood,positive,1882
used,positive,1881
2,positive,1880
kids,negative,1880
especially,negative,1877
need,negative,1875
left,positive,1873
remember,positive,1873
often,positive,1870
others,positive,1868
use,negative,1868
brilliant,positive,1862
name,negative,1862
small,positive,1852
maybe,positive,1847
moments,positive,1847
takes,negative,1845
couple,negative,1843
favorite,positive,1839
problem,negative,1826
script,positive,1825
second,negative,1823
doing,negative,1822
guess,negative,1822
women,negative,1822
style,positive,1821
shot,positive,1817
getting,negative,1815
next,negative,1814
4,negative,1813
mother,positive,1811
early,positive,1810
live,positive,1806
lines,negative,1805
liked,positive,1794
school,negative,1791
unfortunately,negative,1791
shows,negative,1783
himself,negative,1781
kids,positive,1776
death,negative,1766
crap,negative,1763
heart,positive,1762
help,negative,1755
head,negative,1754
piece,negative,1749
drama,positive,1748
lives,positive,1747
become,positive,1744
short,negative,1743
entertaining,positive,1742
less,positive,1736
later,negative,1735
sort,negative,1729
laugh,negative,1723
came,positive,1720
different,negative,1717
enjoyed,positive,1717
nice,negative,1713
use,positive,1708
read,positive,1707
seemed,negative,1706
school,positive,1705
plays,negative,1703
absolutely,negative,1702
keep,positive,1700
wife,negative,1695
guys,negative,1693
understand,negative,1692
highly,positive,1690
friends,negative,1688
next,positive,1688
certainly,positive,1687
cinema,positive,1679
effects,positive,1678
need,positive,1675
called,negative,1674
perhaps,positive,1674
care,negative,1673
along,negative,1668
entire,negative,1668
went,negative,1667
playing,positive,1666
simply,positive,1666
true,negative,1662
john,negative,1659
given,positive,1654
face,negative,1647
someone,positive,1647
boy,positive,1643
person,negative,1643
men,negative,1640
title,negative,1637
line,positive,1635
case,negative,1633
picture,positive,1629
home,negative,1624
itself,negative,1624
job,negative,1624
full,negative,1623
decent,negative,1622
wasn't,positive,1621
hollywood,negative,1618
works,positive,1616
top,negative,1615
perhaps,negative,1614
looks,positive,1613
fine,positive,1612
wanted,negative,1610
totally,negative,1608
understand,positive,1607
killer,negative,1606
production,positive,1604
you're,positive,1603
hope,positive,1602
stars,positive,1602
written,negative,1602
dark,positive,1601
itself,positive,1598
until,negative,1596
finally,positive,1595
felt,negative,1594
flick,negative,1591
based,positive,1590
came,negative,1590
face,positive,1590
yes,negative,1584
couple,positive,1579
friend,positive,1579
minutes,positive,1578
dead,positive,1573
hour,negative,1573
women,positive,1572
children,positive,1569
several,positive,1564
mr,positive,1562
reason,positive,1557
annoying,negative,1555
overall,positive,1555
history,positive,1547
writing,negative,1538
try,positive,1535
keep,negative,1534
playing,negative,1531
ridiculous,negative,1531
stars,negative,1531
half,positive,1530
kill,negative,1530
sound,negative,1529
they're,negative,1529
humor,positive,1528
lost,positive,1524
game,positive,1516
against,positive,1515
direction,negative,1515
fans,positive,1514
tries,negative,1513
strong,positive,1508
evil,negative,1507
save,negative,1507
written,positive,1507
getting,positive,1500
b,negative,1497
ok,negative,1497
throughout,positive,1497
example,negative,1495
person,positive,1494
let,positive,1491
god,negative,1488
city,positive,1484
else,positive,1476
today,positive,1476
already,negative,1473
start,positive,1473
able,positive,1469
obviously,negative,1469
i'd,negative,1464
tell,positive,1464
beginning,positive,1453
idea,positive,1451
remember,negative,1449
despite,positive,1442
truly,negative,1442
killed,negative,1440
final,positive,1436
becomes,positive,1434
days,positive,1434
art,positive,1431
attempt,negative,1431
thinking,negative,1430
late,positive,1427
act,negative,1426
completely,positive,1425
lost,negative,1422
she's,negative,1422
moments,negative,1418
video,positive,1418
cheap,negative,1416
rest,positive,1415
white,positive,1415
except,negative,1412
side,positive,1410
5,negative,1409
instead,positive,1407
sometimes,positive,1407
hilarious,positive,1406
michael,positive,1406
camera,positive,1404
finally,negative,1404
lead,negative,1404
past,positive,1404
name,positive,1402
you'll,positive,1399
looked,negative,1397
son,positive,1397
yes,positive,1397
quality,negative,1395
war,negative,1394
under,positive,1390
experience,positive,1389
car,negative,1388
turn,negative,1386
boy,negative,1376
enjoy,negative,1376
white,negative,1375
gore,negative,1374
money,positive,1371
style,negative,1370
blood,negative,1366
run,negative,1365
simple,positive,1365
budget,positive,1362
case,positive,1362
wants,positive,1360
title,positive,1358
head,positive,1354
lack,negative,1351
etc,negative,1349
father,negative,1349
went,positive,1340
stuff,negative,1339
myself,negative,1334
wouldn't,negative,1334
soon,positive,1332
dull,negative,1328
small,negative,1327
recommend,negative,1326
sex,positive,1326
none,negative,1324
beginning,negative,1321
either,positive,1321
hell,negative,1320
please,negative,1319
under,negative,1313
early,negative,1311
seriously,negative,1310
doing,positive,1308
known,positive,1308
eyes,positive,1306
hope,negative,1306
score,positive,1305
wrong,positive,1305
turns,positive,1304
genre,positive,1302
complete,negative,1300
others,negative,1300
town,positive,1296
overall,negative,1295
piece,positive,1295
roles,positive,1295
sound,positive,1295
obvious,negative,1292
parts,positive,1292
several,negative,1292
absolutely,positive,1290
happens,negative,1289
girls,negative,1288
stop,negative,1287
turn,positive,1287
she's,positive,1286
starts,negative,1286
anyway,negative,1284
wonder,negative,1284
james,positive,1282
felt,positive,1281
certainly,negative,1279
lines,positive,1278
against,negative,1276
lead,positive,1276
matter,positive,1275
gave,negative,1271
based,negative,1270
slow,negative,1270
you'll,negative,1270
picture,negative,1268
apparently,negative,1262
chance,positive,1261
directed,positive,1260
relationship,positive,1260
david,positive,1258
poorly,negative,1258
viewer,positive,1257
kid,negative,1253
often,negative,1253
friend,negative,1252
laugh,positive,1250
avoid,negative,1248
silly,negative,1246
stories,positive,1246
saying,negative,1245
child,positive,1244
despite,negative,1244
close,positive,1243
final,negative,1242
called,positive,1239
episode,negative,1238
fans,negative,1238
jokes,negative,1236
predictable,negative,1236
cut,negative,1232
murder,positive,1232
reality,positive,1231
age,positive,1227
lame,negative,1225
classic,negative,1224
including,positive,1224
close,negative,1222
fantastic,positive,1222
living,positive,1222
song,positive,1219
hand,negative,1218
won't,positive,1218
becomes,negative,1214
low,positive,1214
quality,positive,1213
behind,positive,1211
released,positive,1210
sort,positive,1209
direction,positive,1206
mr,negative,1205
won't,negative,1204
writer,negative,1204
robert,positive,1201
already,positive,1200
game,negative,1200
mother,negative,1196
sorry,negative,1196
humor,negative,1195
actress,positive,1194
become,negative,1194
behind,negative,1193
told,positive,1192
feeling,positive,1190
documentary,positive,1189
entire,positive,1189
themselves,positive,1186
cinema,negative,1185
entertaining,negative,1184
example,positive,1184
expect,negative,1183
evil,positive,1182
hours,negative,1182
scary,negative,1182
fight,negative,1180
live,negative,1180
3,positive,1178
says,negative,1177
beautiful,negative,1176
1,positive,1173
coming,positive,1173
ago,positive,1172
episodes,positive,1172
view,positive,1172
expect,positive,1171
moment,positive,1171
guys,positive,1170
matter,negative,1170
dark,negative,1169
wants,negative,1169
group,negative,1168
throughout,negative,1168
type,positive,1165
human,negative,1164
musical,positive,1162
hand,positive,1159
cannot,negative,1156
able,negative,1154
important,positive,1153
moving,positive,1153
voice,positive,1150
self,positive,1149
liked,negative,1146
days,negative,1145
running,negative,1145
basically,negative,1142
i'll,negative,1142
involved,negative,1141
shots,negative,1141
english,positive,1138
particularly,positive,1138
side,negative,1138
cinematography,positive,1137
happened,negative,1137
gave,positive,1136
happy,positive,1134
themselves,negative,1134
totally,positive,1134
bunch,negative,1133
children,negative,1133
run,positive,1133
enjoyable,positive,1131
light,positive,1130
took,negative,1129
performances,negative,1128
self,negative,1128
town,negative,1128
call,negative,1125
hit,positive,1125
mean,positive,1125
shown,positive,1125
police,positive,1123
actress,negative,1121
directed,negative,1121
greatest,positive,1120
dialogue,positive,1119
happen,negative,1119
disappointed,negative,1118
type,negative,1117
i'd,positive,1116
possible,negative,1113
supporting,positive,1112
heard,positive,1111
superb,positive,1111
turns,negative,1111
monster,negative,1110
brother,positive,1109
romantic,positive,1108
heard,negative,1107
wanted,positive,1106
modern,positive,1105
8,positive,1104
parts,negative,1104
whose,positive,1102
took,positive,1101
7,positive,1099
dialog,negative,1098
finds,positive,1097
extremely,negative,1096
voice,negative,1095
country,positive,1094
female,negative,1094
girls,positive,1094
started,negative,1094
son,negative,1090
rating,negative,1089
daughter,negative,1088
eyes,negative,1088
genre,negative,1088
oscar,positive,1087
talent,negative,1086
film's,positive,1082
interest,negative,1082
leave,positive,1082
talking,negative,1082
group,positive,1081
says,positive,1081
gives,negative,1079
cool,negative,1078
daughter,positive,1077
beyond,negative,1076
sequel,negative,1076
violence,negative,1076
child,negative,1072
husband,positive,1071
taken,positive,1071
badly,negative,1070
hero,negative,1070
jack,positive,1068
etc,positive,1066
power,positive,1066
miss,positive,1065
turned,negative,1065
care,positive,1064
unless,negative,1064
yourself,negative,1064
leave,negative,1062
okay,negative,1062
french,positive,1061
michael,negative,1061
tried,negative,1061
drama,negative,1059
body,negative,1057
huge,negative,1057
stuff,positive,1057
word,negative,1057
tells,positive,1056
change,positive,1053
tale,positive,1053
number,positive,1051
act,positive,1049
serious,negative,1049
mess,negative,1048
realistic,positive,1048
exactly,negative,1047
viewer,negative,1045
usually,negative,1044
violence,positive,1043
career,positive,1042
review,negative,1042
definitely,negative,1040
art,negative,1036
opinion,positive,1034
usual,positive,1034
aren't,negative,1033
extremely,positive,1033
single,negative,1033
non,negative,1031
attention,positive,1029
fight,positive,1025
songs,positive,1025
wasted,negative,1023
coming,negative,1022
history,negative,1021
events,positive,1020
somewhat,positive,1020
past,negative,1019
television,positive,1019
weak,negative,1017
future,positive,1016
feeling,negative,1012
starts,positive,1012
police,negative,1009
middle,negative,1008
british,positive,1005
car,positive,1003
serious,positive,1003
soon,negative,1003
soundtrack,positive,1003
across,positive,1001
effort,negative,1000
straight,negative,1000
easy,positive,999
taking,positive,999
sad,negative,998
wish,positive,998
seemed,positive,997
dumb,negative,995
opening,positive,995
cool,positive,994
opening,negative,993
ways,positive,993
die,negative,991
alone,positive,990
release,positive,989
rent,negative,988
order,positive,987
alone,negative,986
perfectly,positive,986
surprised,positive,986
comic,positive,985
writing,positive,983
five,negative,981
kid,positive,981
problem,positive,979
across,negative,978
involved,positive,976
moment,negative,975
hit,negative,974
knows,positive,974
clearly,negative,973
among,positive,972
four,positive,972
stop,positive,972
happen,positive,970
level,negative,970
beauty,positive,967
sad,positive,967
myself,positive,966
ends,negative,964
ones,positive,964
thriller,positive,964
space,negative,962
powerful,positive,960
editing,negative,959
mention,negative,959
taken,negative,958
novel,positive,957
theme,positive,956
talk,negative,955
what's,negative,954
due,positive,953
famous,positive,953
mostly,negative,953
sequence,positive,953
season,positive,952
9,positive,951
particularly,negative,949
fails,negative,948
class,positive,946
late,negative,946
masterpiece,positive,946
similar,positive,946
strange,positive,946
cannot,positive,945
knew,positive,945
lives,negative,945
minute,negative,944
hero,positive,942
major,positive,942
told,negative,942
premise,negative,941
room,negative,941
writer,positive,940
unique,positive,937
viewing,positive,937
team,positive,936
couldn't,positive,935
memorable,positive,935
order,negative,935
upon,positive,935
they're,positive,934
add,negative,933
anyway,positive,933
fine,negative,933
believable,positive,931
kill,positive,931
stay,negative,931
atmosphere,positive,929
major,negative,929
joke,negative,927
sit,negative,926
earth,negative,925
wish,negative,924
happens,positive,923
killer,positive,922
known,negative,921
paul,positive,921
animation,positive,919
hate,negative,919
exactly,positive,916
tries,positive,916
problems,positive,915
words,negative,915
ends,positive,914
eye,positive,914
words,positive,914
flick,positive,913
happened,positive,913
sometimes,negative,913
emotional,positive,912
slow,positive,912
brought,positive,908
career,negative,908
entertainment,positive,907
sister,positive,907
level,positive,906
falls,negative,905
shown,negative,905
certain,positive,904
parents,positive,904
stories,negative,904
ten,negative,903
interest,positive,902
mostly,positive,902
room,positive,902
usually,positive,902
message,positive,901
number,negative,901
crime,positive,900
george,positive,900
begins,positive,899
easily,positive,899
write,negative,899
four,negative,898
working,positive,898
storyline,negative,894
taking,negative,893
appears,negative,892
local,negative,890
fast,negative,887
king,positive,884
deal,positive,883
pointless,negative,882
peter,positive,881
bring,positive,880
haven't,positive,880
rock,positive,880
above,positive,879
blood,positive,879
knew,negative,879
english,negative,878
herself,positive,878
ones,negative,878
richard,positive,877
total,negative,877
form,positive,876
thinking,positive,876
york,positive,875
let's,negative,874
middle,positive,874
society,positive,874
whether,positive,873
whatever,negative,872
within,positive,872
using,negative,870
killing,negative,869
sets,positive,868
film's,negative,867
killed,positive,865
living,negative,865
cheesy,negative,864
period,positive,864
yourself,positive,863
somehow,negative,862
typical,positive,862
huge,positive,860
including,negative,860
strange,negative,860
upon,negative,859
ago,negative,858
deep,positive,858
pathetic,negative,858
zombie,negative,858
meets,positive,856
obviously,positive,856
talent,positive,856
viewers,positive,856
imagine,negative,855
local,positive,855
guess,positive,854
near,negative,854
problems,negative,854
showing,positive,854
kept,negative,853
reviews,negative,853
romance,positive,853
knows,negative,852
theater,negative,852
brother,negative,851
novel,negative,851
personal,positive,851
b,positive,849
works,negative,849
chance,negative,848
elements,positive,848
possible,positive,847
murder,negative,844
5,positive,842
subject,positive,842
clear,negative,841
decided,negative,841
material,negative,840
nature,positive,839
dance,positive,837
western,positive,833
body,positive,832
actual,negative,831
giving,negative,831
cut,positive,829
leads,positive,829
due,negative,828
filmed,positive,828
gone,negative,827
average,negative,825
city,negative,824
lots,positive,822
otherwise,negative,822
age,negative,821
garbage,negative,821
named,positive,821
truth,positive,821
unfortunately,positive,821
writers,negative,821
song,negative,820
opinion,negative,819
score,negative,819
brings,positive,818
feature,positive,817
footage,negative,817
mystery,positive,816
follow,positive,815
imdb,negative,815
poor,positive,815
situation,positive,815
particular,positive,814
somewhat,negative,814
usual,negative,814
20,negative,813
lots,negative,813
boys,positive,812
possibly,negative,811
power,negative,809
fast,positive,807
giving,positive,807
needs,negative,807
word,positive,807
red,positive,806
wonder,positive,806
experience,negative,805
spent,negative,805
stand,positive,805
de,positive,803
points,negative,803
surprise,positive,803
tom,positive,803
whose,negative,803
change,negative,802
cinematography,negative,802
except,positive,801
husband,negative,801
robert,negative,801
wait,negative,801
you've,negative,801
doubt,negative,800
incredible,positive,800
lady,positive,800
suspense,positive,800
keeps,positive,799
whether,negative,799
turned,positive,798
general,positive,797
near,positive,797
needs,positive,797
credits,negative,796
flat,negative,795
roles,negative,795
shame,negative,795
box,negative,794
t,negative,793
forced,negative,792
released,negative,792
suspense,negative,792
ten,positive,792
buy,positive,791
cover,negative,791
difficult,positive,790
god,positive,789
move,negative,789
dog,negative,788
4,positive,787
learn,positive,787
sets,negative,787
eventually,positive,786
plain,negative,786
earth,positive,785
filmed,negative,785
running,positive,784
nor,negative,783
female,positive,782
nearly,negative,782
gay,negative,781
indeed,positive,781
fall,positive,780
open,positive,780
started,positive,779
above,negative,778
heart,negative,778
era,positive,777
sci,negative,777
class,negative,776
non,positive,776
clearly,positive,775
hour,positive,774
reality,negative,774
comments,negative,773
fall,negative,773
feels,positive,773
fi,negative,773
needed,negative,773
beyond,positive,771
forget,positive,771
means,positive,769
talk,positive,769
thriller,negative,768
attention,negative,767
bored,negative,766
hours,positive,766
re,negative,766
check,negative,765
clear,positive,765
obvious,positive,764
sequence,negative,764
note,positive,763
shots,positive,763
sweet,positive,763
begin,negative,762
comments,positive,762
trash,negative,762
view,negative,762
entertainment,negative,761
single,positive,760
dr,positive,759
hot,negative,759
sounds,negative,759
bring,negative,758
lack,positive,758
light,negative,758
older,positive,757
appears,positive,756
beautifully,positive,754
call,positive,754
complete,positive,754
dream,positive,753
easily,negative,753
stage,positive,753
jokes,positive,752
television,negative,752
forward,negative,751
unlike,positive,751
free,negative,750
laughable,negative,749
meet,positive,748
became,positive,747
expected,negative,747
james,negative,747
stand,negative,747
talking,positive,747
whom,positive,747
within,negative,747
wouldn't,positive,746
buy,negative,745
excellent,negative,745
five,positive,745
rating,positive,745
team,negative,745
david,negative,744
features,positive,744
figure,negative,744
named,negative,744
feels,negative,743
oh,positive,743
weird,negative,742
doctor,positive,741
leaves,positive,740
recommended,positive,740
america,positive,739
showing,negative,739
battle,positive,738
nudity,negative,738
check,positive,736
documentary,negative,736
fake,negative,736
please,positive,735
japanese,positive,734
dr,negative,733
island,negative,733
nearly,positive,733
recently,positive,733
add,positive,732
george,negative,732
means,negative,732
reading,negative,732
country,negative,731
important,negative,731
pay,negative,729
potential,negative,729
i'll,positive,728
incredibly,negative,728
political,positive,728
feature,negative,727
success,positive,727
hate,positive,726
portrayal,positive,726
development,negative,725
hell,positive,725
haven't,negative,724
william,positive,724
bother,negative,722
gone,positive,722
